QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
15,0,0,0,0,\n
15,31,31,250,719,\n
94,188,125,6297,16828,\n
172,453,281,37468,92891,\n
594,1438,844,371953,783735,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
16,0,0,0,0,\n
0,0,0,16,16,\n
32,78,62,719,1906,\n
250,531,375,17953,36344,\n
266,609,375,34281,118578,\n
594,1453,797,281500,767188,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
0,0,0,0,16,\n
15,31,15,296,750,\n
109,218,141,9765,83641,\n
407,969,593,42296,136640,\n
1156,2672,1468,277485,798016,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
0,15,16,0,0,\n
16,31,16,282,719,\n
94,219,125,6438,22140,\n
188,438,281,30359,130422,\n
672,1531,844,296531,741593,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
0,0,16,15,16,\n
31,47,47,469,1250,\n
172,343,234,10985,17578,\n
219,484,297,25766,115140,\n
657,1547,907,293156,722719,\n
