QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
0,0,16,15,16,\n
15,15,16,265,703,\n
110,187,125,6422,18015,\n
188,453,281,26703,87641,\n
890,2125,1172,264516,837765,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
0,0,0,16,16,\n
16,31,16,265,703,\n
110,187,141,6797,18219,\n
188,437,281,98047,84641,\n
609,1500,797,270125,862156,\n
QuickSort,MergeSort,IterativeMergeSort,InsertSort,BubbleSort,\n
0,0,0,0,0,\n
15,0,0,15,16,\n
31,62,47,640,1688,\n
218,469,312,15437,
